fold_id,rebalance_ts,next_rebalance_ts,universe_return,active_return,dispersion,active_weight,retained_names,excluded_losers
10,2025-07-01 09:15:00,2025-07-15 09:15:00,-0.011524537999555662,-0.01602032906151386,0.0010724497887827998,0.0,SUNPHARMA|BAJAJ-AUTO|CIPLA,HDFCBANK|KOTAKBANK|BRITANNIA
10,2025-07-15 09:15:00,2025-07-29 09:15:00,-0.025822407639073973,-0.04183248560757011,0.0021657064124367,0.0,SBIN|HCLTECH|AXISBANK,BAJAJ-AUTO|SUNPHARMA|ADANIPORTS
10,2025-07-29 09:15:00,2025-08-12 09:15:00,-0.0009672928576495154,-0.011185238796305579,0.0042200739072932,0.5,AXISBANK|NESTLEIND|RELIANCE,DRREDDY|HDFCBANK|BHARTIARTL
10,2025-08-12 09:15:00,2025-08-28 09:15:00,0.008536215868923214,-0.017907724036492056,0.0020125103772372,0.0,LT|M&M|MARUTI,SUNPHARMA|TECHM|TCS
10,2025-08-28 09:15:00,2025-09-11 09:15:00,0.0189643396138419,0.08155961072100774,0.0051493204866144,0.5,LT|M&M|ITC,TECHM|MARUTI|ADANIPORTS
10,2025-09-11 09:15:00,2025-09-25 09:15:00,0.0008292305253772703,0.06481457458755342,0.0036668243956448003,0.47396603395261083,ITC|MARUTI|BPCL,WIPRO|INFY|ONGC
10,2025-09-25 09:15:00,2025-10-10 09:15:00,0.008998476737806153,0.008622591594618215,0.0014810920422445,0.0,ITC|MARUTI|HCLTECH,ONGC|INFY|DRREDDY
10,2025-10-10 09:15:00,2025-10-27 09:15:00,0.022997484836406793,-0.002415419631416005,0.0019078374419304002,0.0,ITC|WIPRO|DRREDDY,MARUTI|ONGC|M&M
10,2025-10-27 09:15:00,2025-11-11 09:15:00,-0.013122080363058319,0.023042262315342406,0.0019059736567776,0.0,WIPRO|SBIN|HCLTECH,ONGC|ADANIPORTS|BRITANNIA
10,2025-11-11 09:15:00,2025-11-25 09:15:00,0.020166449869693022,0.03508123851260882,0.0050309452256637995,0.5,WIPRO|SBIN|HCLTECH,ONGC|TCS|BRITANNIA
10,2025-11-25 09:15:00,2025-12-09 09:15:00,-0.001531717080919535,0.019258797615608374,0.0009719639043273001,0.0,WIPRO|INFY|BPCL,AXISBANK|DRREDDY|TCS
10,2025-12-09 09:15:00,2025-12-23 09:15:00,0.01940308310681873,-0.005545637298987247,0.0028258606459865,0.19325690956974417,INFY|M&M|ICICIBANK,HINDUNILVR|HDFCBANK|WIPRO
10,2025-12-23 09:15:00,2026-01-07 09:15:00,0.0038437726400481756,0.032153233340883276,0.0016100655909023001,0.0,ICICIBANK|ONGC|AXISBANK,NESTLEIND|CIPLA|ULTRACEMCO
10,2026-01-07 09:15:00,2026-01-22 09:15:00,-0.030239786382906468,0.024213714947368032,0.0015946206591386002,0.0,SBIN|HINDUNILVR|LT,ICICIBANK|NESTLEIND|CIPLA
10,2026-01-22 09:15:00,2026-02-05 09:15:00,0.01023089739749773,0.025595294496634207,0.0036726486850286,0.4759101500619476,HDFCBANK|DRREDDY|TECHM,BAJAJ-AUTO|ADANIPORTS|M&M
10,2026-02-05 09:15:00,2026-02-19 09:15:00,-0.0017807596387975479,-0.08422469214763127,0.0016047005751762002,0.0,TECHM|WIPRO|HCLTECH,SBIN|BAJAJ-AUTO|BHARTIARTL
10,2026-02-19 09:15:00,2026-03-06 09:15:00,-0.04219095450498484,-0.02163846424539553,0.0028362989520668005,0.19674115934987102,RELIANCE|BHARTIARTL|ADANIPORTS,TECHM|HCLTECH|TCS
10,2026-03-06 09:15:00,2026-03-20 09:15:00,-0.05902067794330633,-0.01130695325939312,0.004324135235602501,0.5,HCLTECH|TECHM|TCS,BHARTIARTL|BPCL|HDFCBANK
10,2026-03-20 09:15:00,2026-04-08 09:15:00,0.029816330729810717,0.004244226870426117,0.005400086698780299,0.5,BHARTIARTL|ICICIBANK|M&M,SBIN|RELIANCE|BPCL
10,2026-04-08 09:15:00,2026-04-23 09:15:00,0.018873103050015785,0.004148425295195797,0.004584481995595101,0.5,TECHM|BPCL|LT,AXISBANK|ONGC|NESTLEIND
10,2026-04-23 09:15:00,2026-04-30 09:15:00,-0.009678481403109226,0.011114644558964826,0.0025196897470061,0.09105872920914693,TECHM|DRREDDY|KOTAKBANK,ONGC|BHARTIARTL|M&M
