symbol,trade_date,expiry_date,entry_spot,expiry_spot,short_put_strike,long_put_strike,short_put_premium,long_put_premium,net_credit_points,spread_width_points,max_loss_points,max_loss_pct_collateral,pnl_points,return_on_max_loss,return_on_cash_equivalent,assigned_or_tested,_symbol,_entry_date,_expiry_date,strategy,variant,scenario,event_window_start,event_window_end,event_count,event_symbols,event_dates,event_sources,event_weight_pct,event_overlap_eligible,vetoed_by_overlay,broker_orders_allowed,allocation,residual_growth_weight,overlap_growth_weight,entry_date,weighted_pnl_points,weighted_return_on_margin,active_legs,has_defensive,has_growth
BHARTIARTL,2023-03-23,2023-04-27,763.55,786.5,720.0,700.0,4.7,3.1,1.6,20.0,18.4,0.0255555555555555,1.6,0.0869565217391304,0.0022222222222222,False,BHARTIARTL,2023-03-23,2023-04-27,TB15_T04,symbol_event_entry_to_expiry,stock_symbol,2023-03-23,2023-04-27,0,,,,0.0,False,False,False,,,,,,,,,
BHARTIARTL,2023-04-20,2023-05-25,772.3,822.7,730.0,700.0,4.0,2.05,1.95,30.0,28.05,0.0384246575342465,1.95,0.0695187165775401,0.0026712328767123,False,BHARTIARTL,2023-04-20,2023-05-25,TB15_T04,symbol_event_entry_to_expiry,stock_symbol,2023-04-20,2023-05-25,0,,,,0.0,False,False,False,,,,,,,,,
BHARTIARTL,2023-06-22,2023-07-27,842.8,895.15,800.0,770.0,6.25,2.5,3.75,30.0,26.25,0.0328125,3.75,0.1428571428571428,0.0046875,False,BHARTIARTL,2023-06-22,2023-07-27,TB15_T04,symbol_event_entry_to_expiry,stock_symbol,2023-06-22,2023-07-27,0,,,,0.0,False,False,False,,,,,,,,,
BHARTIARTL,2023-07-27,2023-08-31,895.15,856.4,850.0,820.0,8.05,5.25,2.8000000000000007,30.0,27.2,0.032,2.8000000000000007,0.1029411764705882,0.0032941176470588,False,BHARTIARTL,2023-07-27,2023-08-31,TB15_T04,symbol_event_entry_to_expiry,stock_symbol,2023-07-27,2023-08-31,0,,,,0.0,False,False,False,,,,,,,,,
BHARTIARTL,2023-08-24,2023-09-28,869.45,925.65,820.0,800.0,3.5,1.9,1.6,20.0,18.4,0.0224390243902439,1.6,0.0869565217391304,0.0019512195121951,False,BHARTIARTL,2023-08-24,2023-09-28,TB15_T04,symbol_event_entry_to_expiry,stock_symbol,2023-08-24,2023-09-28,0,,,,0.0,False,False,False,,,,,,,,,
BHARTIARTL,2023-09-21,2023-10-26,917.95,905.5,870.0,850.0,5.0,2.9,2.1,20.0,17.9,0.0205747126436781,2.1,0.1173184357541899,0.0024137931034482,False,BHARTIARTL,2023-09-21,2023-10-26,TB15_T04,symbol_event_entry_to_expiry,stock_symbol,2023-09-21,2023-10-26,0,,,,0.0,False,False,False,,,,,,,,,
BHARTIARTL,2023-10-26,2023-11-30,905.5,1014.7,860.0,850.0,5.35,4.0,1.3499999999999996,10.0,8.65,0.0100581395348837,1.3499999999999996,0.1560693641618496,0.0015697674418604,False,BHARTIARTL,2023-10-26,2023-11-30,TB15_T04,symbol_event_entry_to_expiry,stock_symbol,2023-10-26,2023-11-30,0,,,,0.0,False,False,False,,,,,,,,,
BHARTIARTL,2023-11-23,2023-12-28,976.65,1036.7,920.0,900.0,6.4,2.1,4.300000000000001,20.0,15.7,0.0170652173913043,4.300000000000001,0.2738853503184714,0.0046739130434782,False,BHARTIARTL,2023-11-23,2023-12-28,TB15_T04,symbol_event_entry_to_expiry,stock_symbol,2023-11-23,2023-12-28,0,,,,0.0,False,False,False,,,,,,,,,
BHARTIARTL,2023-12-21,2024-01-25,977.9,1160.55,900.0,850.0,3.55,1.5,2.05,50.0,47.95,0.0532777777777777,2.05,0.0427528675703858,0.0022777777777777,False,BHARTIARTL,2023-12-21,2024-01-25,TB15_T04,symbol_event_entry_to_expiry,stock_symbol,2023-12-21,2024-01-25,0,,,,0.0,False,False,False,,,,,,,,,
BHARTIARTL,2024-01-25,2024-02-29,1160.55,1123.35,1100.0,1050.0,10.0,4.0,6.0,50.0,44.0,0.04,6.0,0.1363636363636363,0.0054545454545454,False,BHARTIARTL,2024-01-25,2024-02-29,TB15_T04,symbol_event_entry_to_expiry,stock_symbol,2024-01-25,2024-02-29,0,,,,0.0,False,False,False,,,,,,,,,
