scenario,allocation,entry_date,expiry_date,weighted_pnl_before_stt_points,weighted_exercise_stt_points,weighted_pnl_after_stt_points,weighted_return_after_stt,defensive_short_intrinsic_points,growth_short_intrinsic_points,defensive_itm_short_legs,growth_itm_short_legs
moderate_stress,def_full_resg0_ovg50,2022-10-31,2022-11-03,1.143749999999999,0.0,1.143749999999999,0.0012151555797553742,0.0,0.0,0,0
moderate_stress,def_full_resg0_ovg50,2024-02-01,2024-02-08,19.40625,0.0,19.40625,0.01798436142484796,0.0,0.0,0,0
moderate_stress,def_full_resg0_ovg50,2024-03-27,2024-04-04,3.09375,0.0,3.09375,0.0027139645813915236,0.0,0.0,0,0
moderate_stress,def_full_resg0_ovg50,2024-05-15,2024-05-23,18.15,0.0,18.15,0.016063368439684922,0.0,0.0,0,0
harsh_stress,def_full_resg0_ovg50,2019-02-25,2019-02-28,-15.5325,0.0,-15.5325,-0.025958670020305673,0.0,0.0,0,0
harsh_stress,def_full_resg0_ovg50,2019-05-20,2019-05-23,82.31249999999996,0.0,82.31249999999996,0.15439624853458375,0.0,0.0,0,0
harsh_stress,def_full_resg0_ovg50,2019-05-22,2019-05-30,129.66,0.0,129.66,0.23507868590905798,0.0,0.0,0,0
harsh_stress,def_full_resg0_ovg50,2019-05-23,2019-05-30,32.115,0.0,32.115,0.052084853792633674,0.0,0.0,0,0
harsh_stress,def_full_resg0_ovg50,2019-09-23,2019-09-26,-1.6950000000000012,0.0,-1.6950000000000012,-0.0026520426204371585,0.0,0.0,0,0
harsh_stress,def_full_resg0_ovg50,2019-09-26,2019-10-03,3.1349999999999945,0.0,3.1349999999999945,0.005350651123892739,0.0,0.0,0,0
harsh_stress,def_full_resg0_ovg50,2019-10-14,2019-10-17,-5.984999999999998,0.0,-5.984999999999998,-0.010109968073785025,0.0,0.0,0,0
harsh_stress,def_full_resg0_ovg50,2019-10-17,2019-10-24,-7.004999999999999,0.0,-7.004999999999999,-0.00883722103775846,0.0,0.0,0,0
harsh_stress,def_full_resg0_ovg50,2019-12-16,2019-12-19,-14.512500000000001,0.0,-14.512500000000001,-0.014546320194452102,0.0,0.0,0,0
harsh_stress,def_full_resg0_ovg50,2020-06-01,2020-06-04,30.5025,0.0,30.5025,0.06522296943324817,0.0,0.0,0,0
harsh_stress,def_full_resg0_ovg50,2020-06-04,2020-06-11,63.31500000000001,0.0,63.31500000000001,0.12770527844450272,0.0,0.0,0,0
harsh_stress,def_full_resg0_ovg50,2020-06-18,2020-06-25,51.8475,0.0,51.8475,0.1029874760396079,0.0,0.0,0,0
harsh_stress,def_full_resg0_ovg50,2020-06-22,2020-06-25,25.387500000000003,0.0,25.387500000000003,0.04872139327352108,0.0,0.0,0,0
harsh_stress,def_full_resg0_ovg50,2020-07-06,2020-07-09,-0.07500000000000359,0.0,-0.07500000000000359,-0.00013939224979091832,0.0,0.0,0,0
harsh_stress,def_full_resg0_ovg50,2020-07-20,2020-07-23,11.579999999999993,0.0,11.579999999999993,0.01995588336665057,0.0,0.0,0,0
harsh_stress,def_full_resg0_ovg50,2020-08-10,2020-08-13,-10.110000000000001,0.0,-10.110000000000001,-0.016999024783939203,0.0,0.0,0,0
harsh_stress,def_full_resg0_ovg50,2020-08-27,2020-09-03,-0.15750000000000586,0.0,-0.15750000000000586,-0.00026780931976433777,0.0,0.0,0,0
harsh_stress,def_full_resg0_ovg50,2020-10-05,2020-10-08,3.314999999999996,0.0,3.314999999999996,0.0052139857500117905,0.0,0.0,0,0
harsh_stress,def_full_resg0_ovg50,2020-10-08,2020-10-15,17.9775,0.0,17.9775,0.031210124736334992,0.0,0.0,0,0
