entry_date,reason,expiry_date,total_entry_contracts
2019-09-05,uptrend_gate_false,,
2019-09-11,uptrend_gate_false,,
2019-09-12,liquidity_below_min_entry_contracts,2019-09-19,30666.0
2019-09-16,uptrend_gate_false,,
2019-09-17,uptrend_gate_false,,
2019-09-18,uptrend_gate_false,,
2019-09-24,liquidity_below_min_entry_contracts,2019-10-03,4772.0
2019-09-25,liquidity_below_min_entry_contracts,2019-10-03,20086.0
2019-09-26,liquidity_below_min_entry_contracts,2019-10-03,12797.0
2019-10-03,uptrend_gate_false,,
2019-10-09,liquidity_below_min_entry_contracts,2019-10-17,3200.0
2019-10-10,liquidity_below_min_entry_contracts,2019-10-17,17589.0
2019-10-15,liquidity_below_min_entry_contracts,2019-10-24,8818.0
2019-10-16,liquidity_below_min_entry_contracts,2019-10-24,13825.0
2019-10-22,liquidity_below_min_entry_contracts,2019-10-31,25398.0
2019-10-23,uptrend_gate_false,,
2019-10-24,uptrend_gate_false,,
2019-10-29,liquidity_below_min_entry_contracts,2019-11-07,11458.0
2019-10-30,liquidity_below_min_entry_contracts,2019-11-07,17284.0
2019-10-31,liquidity_below_min_entry_contracts,2019-11-07,33520.0
2019-11-04,liquidity_below_min_entry_contracts,2019-11-07,23348.0
2019-11-05,liquidity_below_min_entry_contracts,2019-11-14,7234.0
2019-11-06,liquidity_below_min_entry_contracts,2019-11-14,8421.0
2019-11-07,liquidity_below_min_entry_contracts,2019-11-14,5676.0
2019-11-13,liquidity_below_min_entry_contracts,2019-11-21,9311.0
2019-11-14,liquidity_below_min_entry_contracts,2019-11-21,39262.0
2019-11-18,liquidity_below_min_entry_contracts,2019-11-21,19348.0
2019-11-19,liquidity_below_min_entry_contracts,2019-11-28,29402.0
2019-11-20,liquidity_below_min_entry_contracts,2019-11-28,29182.0
2019-11-21,liquidity_below_min_entry_contracts,2019-11-28,21859.0
2019-11-25,liquidity_below_min_entry_contracts,2019-11-28,47677.0
2019-11-26,liquidity_below_min_entry_contracts,2019-12-05,7897.0
2019-11-27,liquidity_below_min_entry_contracts,2019-12-05,7986.0
2019-11-28,liquidity_below_min_entry_contracts,2019-12-05,12732.0
2019-12-02,liquidity_below_min_entry_contracts,2019-12-05,13573.0
2019-12-03,liquidity_below_min_entry_contracts,2019-12-12,319.0
2019-12-04,liquidity_below_min_entry_contracts,2019-12-12,3045.0
2019-12-05,uptrend_gate_false,,
2019-12-09,uptrend_gate_false,,
2019-12-10,uptrend_gate_false,,
2019-12-11,uptrend_gate_false,,
2019-12-12,liquidity_below_min_entry_contracts,2019-12-19,34884.0
2019-12-17,liquidity_below_min_entry_contracts,2019-12-26,17718.0
2019-12-18,liquidity_below_min_entry_contracts,2019-12-26,18180.0
2019-12-26,liquidity_below_min_entry_contracts,2020-01-02,3573.0
2019-12-30,liquidity_below_min_entry_contracts,2020-01-02,14116.0
2019-12-31,liquidity_below_min_entry_contracts,2020-01-09,1684.0
2020-01-01,liquidity_below_min_entry_contracts,2020-01-09,6535.0
2020-01-02,liquidity_below_min_entry_contracts,2020-01-09,8306.0
2020-01-06,uptrend_gate_false,,
2020-01-07,uptrend_gate_false,,
2020-01-08,liquidity_below_min_entry_contracts,2020-01-16,39405.0
2020-01-09,liquidity_below_min_entry_contracts,2020-01-16,30773.0
2020-01-14,liquidity_below_min_entry_contracts,2020-01-23,2350.0
2020-01-15,liquidity_below_min_entry_contracts,2020-01-23,3389.0
