trade_date,status,url,path,bytes,generated_at_ist
2024-07-22,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20240722_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\07\BhavCopy_NSE_FO_0_0_0_20240722_F_0000.csv.zip,1324396,2026-07-03T09:41:20.619966+05:30
2024-07-23,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20240723_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\07\BhavCopy_NSE_FO_0_0_0_20240723_F_0000.csv.zip,1368443,2026-07-03T09:41:20.619966+05:30
2024-07-24,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20240724_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\07\BhavCopy_NSE_FO_0_0_0_20240724_F_0000.csv.zip,1373410,2026-07-03T09:41:20.619966+05:30
2024-07-25,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20240725_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\07\BhavCopy_NSE_FO_0_0_0_20240725_F_0000.csv.zip,1359216,2026-07-03T09:41:20.619966+05:30
2024-07-26,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20240726_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\07\BhavCopy_NSE_FO_0_0_0_20240726_F_0000.csv.zip,1079139,2026-07-03T09:41:20.619966+05:30
2024-07-29,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20240729_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\07\BhavCopy_NSE_FO_0_0_0_20240729_F_0000.csv.zip,1025214,2026-07-03T09:41:20.619966+05:30
2024-07-30,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20240730_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\07\BhavCopy_NSE_FO_0_0_0_20240730_F_0000.csv.zip,1041167,2026-07-03T09:41:20.619966+05:30
2024-07-31,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20240731_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\07\BhavCopy_NSE_FO_0_0_0_20240731_F_0000.csv.zip,1056892,2026-07-03T09:41:20.619966+05:30
2024-08-01,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20240801_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\08\BhavCopy_NSE_FO_0_0_0_20240801_F_0000.csv.zip,1072409,2026-07-03T09:41:20.619966+05:30
2024-08-02,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20240802_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\08\BhavCopy_NSE_FO_0_0_0_20240802_F_0000.csv.zip,1083454,2026-07-03T09:41:20.619966+05:30
2024-08-05,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20240805_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\08\BhavCopy_NSE_FO_0_0_0_20240805_F_0000.csv.zip,1156412,2026-07-03T09:41:20.619966+05:30
2024-08-06,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20240806_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\08\BhavCopy_NSE_FO_0_0_0_20240806_F_0000.csv.zip,1165104,2026-07-03T09:41:20.619966+05:30
2024-08-07,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20240807_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\08\BhavCopy_NSE_FO_0_0_0_20240807_F_0000.csv.zip,1158421,2026-07-03T09:41:20.619966+05:30
2024-08-08,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20240808_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\08\BhavCopy_NSE_FO_0_0_0_20240808_F_0000.csv.zip,1176330,2026-07-03T09:41:20.619966+05:30
2024-08-09,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20240809_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\08\BhavCopy_NSE_FO_0_0_0_20240809_F_0000.csv.zip,1182578,2026-07-03T09:41:20.619966+05:30
2024-08-12,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20240812_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\08\BhavCopy_NSE_FO_0_0_0_20240812_F_0000.csv.zip,1201369,2026-07-03T09:41:20.619966+05:30
2024-08-13,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20240813_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\08\BhavCopy_NSE_FO_0_0_0_20240813_F_0000.csv.zip,1208926,2026-07-03T09:41:20.619966+05:30
2024-08-14,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20240814_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\08\BhavCopy_NSE_FO_0_0_0_20240814_F_0000.csv.zip,1211415,2026-07-03T09:41:20.619966+05:30
2024-08-15,missing_http_404,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20240815_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\08\BhavCopy_NSE_FO_0_0_0_20240815_F_0000.csv.zip,0,2026-07-03T09:41:20.619966+05:30
2024-08-16,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20240816_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\08\BhavCopy_NSE_FO_0_0_0_20240816_F_0000.csv.zip,1220272,2026-07-03T09:41:20.619966+05:30
2024-08-19,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20240819_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\08\BhavCopy_NSE_FO_0_0_0_20240819_F_0000.csv.zip,1222160,2026-07-03T09:41:20.619966+05:30
2024-08-20,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20240820_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\08\BhavCopy_NSE_FO_0_0_0_20240820_F_0000.csv.zip,1232885,2026-07-03T09:41:20.619966+05:30
2024-08-21,fetched,https://nsearchives.nseindia.com/content/fo/BhavCopy_NSE_FO_0_0_0_20240821_F_0000.csv.zip,C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2024\08\BhavCopy_NSE_FO_0_0_0_20240821_F_0000.csv.zip,1235085,2026-07-03T09:41:20.619966+05:30
