fold_id,rebalance_ts,next_rebalance_ts,ticker,short_notional_weight_proxy,has_historical_futstk_coverage
5,2021-02-05 09:15:00,2021-03-22 09:15:00,BHARTIARTL,0.02,True
5,2021-02-05 09:15:00,2021-03-22 09:15:00,ULTRACEMCO,0.02,True
5,2021-02-05 09:15:00,2021-03-22 09:15:00,ADANIPORTS,0.02,True
5,2021-02-05 09:15:00,2021-03-22 09:15:00,AXISBANK,0.02,True
5,2021-02-05 09:15:00,2021-03-22 09:15:00,LT,0.02,True
5,2021-02-05 09:15:00,2021-03-22 09:15:00,ICICIBANK,0.02,True
5,2021-02-05 09:15:00,2021-03-22 09:15:00,HINDUNILVR,0.02,True
6,2021-06-29 09:15:00,2021-08-11 09:15:00,LT,0.02,True
6,2021-06-29 09:15:00,2021-08-11 09:15:00,DRREDDY,0.02,True
6,2021-06-29 09:15:00,2021-08-11 09:15:00,WIPRO,0.02,True
6,2021-06-29 09:15:00,2021-08-11 09:15:00,BRITANNIA,0.02,True
6,2021-06-29 09:15:00,2021-08-11 09:15:00,HINDUNILVR,0.02,True
6,2021-06-29 09:15:00,2021-08-11 09:15:00,HCLTECH,0.02,True
6,2021-06-29 09:15:00,2021-08-11 09:15:00,INFY,0.02,True
6,2021-06-29 09:15:00,2021-08-11 09:15:00,ITC,0.02,True
6,2021-06-29 09:15:00,2021-08-11 09:15:00,TCS,0.02,True
6,2021-06-29 09:15:00,2021-08-11 09:15:00,M&M,0.02,True
6,2022-02-03 09:15:00,2022-03-21 09:15:00,ADANIPORTS,0.02,True
6,2022-02-03 09:15:00,2022-03-21 09:15:00,CIPLA,0.02,True
6,2022-02-03 09:15:00,2022-03-21 09:15:00,NESTLEIND,0.02,True
6,2022-02-03 09:15:00,2022-03-21 09:15:00,TECHM,0.02,True
6,2022-02-03 09:15:00,2022-03-21 09:15:00,SBIN,0.02,True
6,2022-02-03 09:15:00,2022-03-21 09:15:00,DRREDDY,0.02,True
6,2022-02-03 09:15:00,2022-03-21 09:15:00,AXISBANK,0.02,True
6,2022-02-03 09:15:00,2022-03-21 09:15:00,HDFCBANK,0.02,True
6,2022-02-03 09:15:00,2022-03-21 09:15:00,SUNPHARMA,0.02,True
6,2022-02-03 09:15:00,2022-03-21 09:15:00,INFY,0.02,True
7,2022-09-21 09:15:00,2022-11-04 09:15:00,ADANIPORTS,0.02,True
7,2022-09-21 09:15:00,2022-11-04 09:15:00,RELIANCE,0.02,True
7,2022-09-21 09:15:00,2022-11-04 09:15:00,DRREDDY,0.02,True
7,2022-09-21 09:15:00,2022-11-04 09:15:00,KOTAKBANK,0.02,True
7,2022-09-21 09:15:00,2022-11-04 09:15:00,ONGC,0.02,True
7,2022-09-21 09:15:00,2022-11-04 09:15:00,ITC,0.02,True
7,2022-09-21 09:15:00,2022-11-04 09:15:00,ULTRACEMCO,0.02,True
7,2022-09-21 09:15:00,2022-11-04 09:15:00,BHARTIARTL,0.02,True
7,2022-09-21 09:15:00,2022-11-04 09:15:00,BRITANNIA,0.02,True
7,2022-09-21 09:15:00,2022-11-04 09:15:00,HINDUNILVR,0.02,True
7,2023-05-03 09:15:00,2023-05-10 09:15:00,MARUTI,0.02,True
7,2023-05-03 09:15:00,2023-05-10 09:15:00,ONGC,0.02,True
7,2023-05-03 09:15:00,2023-05-10 09:15:00,SUNPHARMA,0.02,True
7,2023-05-03 09:15:00,2023-05-10 09:15:00,BPCL,0.02,True
7,2023-05-03 09:15:00,2023-05-10 09:15:00,BRITANNIA,0.02,True
7,2023-05-03 09:15:00,2023-05-10 09:15:00,INFY,0.02,True
7,2023-05-03 09:15:00,2023-05-10 09:15:00,DRREDDY,0.02,True
7,2023-05-03 09:15:00,2023-05-10 09:15:00,HCLTECH,0.02,True
7,2023-05-03 09:15:00,2023-05-10 09:15:00,ADANIPORTS,0.02,True
7,2023-05-03 09:15:00,2023-05-10 09:15:00,TECHM,0.02,True
9,2024-06-20 09:15:00,2024-08-02 09:15:00,BAJAJ-AUTO,0.02,True
9,2024-06-20 09:15:00,2024-08-02 09:15:00,DRREDDY,0.02,True
9,2024-06-20 09:15:00,2024-08-02 09:15:00,SBIN,0.02,True
9,2024-06-20 09:15:00,2024-08-02 09:15:00,TECHM,0.02,True
9,2024-06-20 09:15:00,2024-08-02 09:15:00,CIPLA,0.02,True
9,2024-06-20 09:15:00,2024-08-02 09:15:00,RELIANCE,0.02,True
