trade_date,expiry_date,days_to_expiry,strike,option_type,open,high,low,close,settle_pr,contracts,val_inlakh,open_int,chg_in_oi,has_traded
2024-07-05,2024-09-26,83,22450.0,PE,0.0,0.0,0.0,160.55,105.85,0,0.0,0,0,False
2024-07-05,2024-09-26,83,22500.0,PE,85.5,99.0,85.2,88.8,88.8,3806,21493.52,205975,41000,True
2024-07-05,2024-09-26,83,22550.0,PE,0.0,0.0,0.0,177.5,118.55,0,0.0,0,0,False
2024-07-05,2024-09-26,83,22600.0,PE,96.0,98.0,88.4,91.75,91.75,417,2365.6,20575,6475,True
2024-07-05,2024-09-26,83,22650.0,PE,0.0,0.0,0.0,195.75,132.5,0,0.0,0,0,False
2024-07-05,2024-09-26,83,22700.0,PE,91.4,106.5,91.0,100.2,100.2,667,3802.07,28875,5825,True
2024-07-05,2024-09-26,83,22750.0,PE,0.0,0.0,0.0,215.4,147.6,0,0.0,0,0,False
2024-07-05,2024-09-26,83,22800.0,PE,116.0,117.0,103.55,106.0,106.0,568,3253.06,22800,8875,True
2024-07-05,2024-09-26,83,22850.0,PE,0.0,0.0,0.0,236.5,164.05,0,0.0,0,0,False
2024-07-05,2024-09-26,83,22900.0,PE,132.0,132.0,117.9,121.8,121.8,380,2187.22,7025,5900,True
2024-07-05,2024-09-26,83,22950.0,PE,0.0,0.0,0.0,259.05,181.85,0,0.0,0,0,False
2024-07-05,2024-09-26,83,23000.0,PE,141.0,151.85,131.0,135.15,135.15,5402,31252.8,761550,40325,True
2024-07-05,2024-09-26,83,23050.0,PE,0.0,0.0,0.0,284.1,201.1,0,0.0,0,0,False
2024-07-05,2024-09-26,83,23100.0,PE,158.0,159.05,140.05,142.35,142.35,342,1987.85,17175,3550,True
2024-07-05,2024-09-26,83,23150.0,PE,0.0,0.0,0.0,309.6,221.8,0,0.0,0,0,False
2024-07-05,2024-09-26,83,23200.0,PE,173.0,173.0,153.0,156.05,156.05,165,963.74,15400,3150,True
2024-07-05,2024-09-26,83,23250.0,PE,0.0,0.0,0.0,335.85,244.05,0,0.0,0,0,False
2024-07-05,2024-09-26,83,23300.0,PE,190.0,190.8,170.35,172.5,172.5,297,1743.87,14875,225,True
2024-07-05,2024-09-26,83,23350.0,PE,207.9,207.9,207.9,207.9,267.95,1,5.88,25,25,True
2024-07-05,2024-09-26,83,23400.0,PE,200.0,209.0,185.0,193.2,193.2,101,595.96,9350,1100,True
2024-07-05,2024-09-26,83,23450.0,PE,0.0,0.0,0.0,373.15,294.25,0,0.0,25,0,False
2024-07-05,2024-09-26,83,23500.0,PE,225.0,235.9,207.35,211.65,211.65,3081,18274.25,116675,21900,True
2024-07-05,2024-09-26,83,23550.0,PE,0.0,0.0,0.0,428.15,320.35,0,0.0,0,0,False
2024-07-05,2024-09-26,83,23600.0,PE,250.0,250.0,243.0,243.0,243.0,12,71.53,275,250,True
2024-07-05,2024-09-26,83,23650.0,PE,0.0,0.0,0.0,462.45,349.35,0,0.0,0,0,False
