symbol,trade_date,expiry_date,entry_spot,expiry_spot,short_put_strike,long_put_strike,short_put_premium,long_put_premium,net_credit_points,spread_width_points,max_loss_points,max_loss_pct_collateral,pnl_points,return_on_max_loss,return_on_cash_equivalent,assigned_or_tested
LT,2018-08-23,2018-09-27,1352.05,1309.9,1280.0,1240.0,9.4,4.4,5.0,40.0,35.0,0.02734375,5.0,0.14285714285714285,0.00390625,False
LT,2018-09-21,2018-10-25,1329.7,1201.55,1260.0,1220.0,9.4,2.75,6.65,40.0,33.35,0.02646825396825397,-33.35,-1.0,-0.02646825396825397,True
LT,2018-10-25,2018-11-29,1201.55,1422.45,1140.0,1100.0,16.3,8.5,7.800000000000001,40.0,32.2,0.028245614035087723,7.800000000000001,0.2422360248447205,0.006842105263157895,False
LT,2018-12-27,2019-01-31,1425.05,1314.3,1340.0,1300.0,9.1,5.4,3.6999999999999993,40.0,36.3,0.027089552238805967,-22.000000000000046,-0.6060606060606074,-0.016417910447761228,True
LT,2019-01-24,2019-02-28,1295.35,1292.95,1220.0,1200.0,16.05,11.0,5.050000000000001,20.0,14.95,0.012254098360655738,5.050000000000001,0.3377926421404683,0.004139344262295083,False
LT,2019-02-21,2019-03-28,1284.1,1386.7,1200.0,1160.0,11.25,5.6,5.65,40.0,34.35,0.028625,5.65,0.16448326055312956,0.0047083333333333335,False
LT,2019-03-22,2019-04-25,1394.7,1355.15,1320.0,1300.0,11.95,8.5,3.4499999999999993,20.0,16.55,0.012537878787878789,3.4499999999999993,0.20845921450151053,0.002613636363636363,False
LT,2019-04-25,2019-05-30,1355.15,1558.6,1280.0,1240.0,13.65,8.0,5.65,40.0,34.35,0.0268359375,5.65,0.16448326055312956,0.0044140625000000005,False
LT,2019-05-23,2019-06-27,1476.1,1550.9,1400.0,1340.0,16.8,4.5,12.3,60.0,47.7,0.03407142857142857,12.3,0.2578616352201258,0.008785714285714286,False
LT,2019-06-20,2019-07-25,1557.1,1372.4,1460.0,1400.0,12.0,4.5,7.5,60.0,52.5,0.03595890410958904,-52.5,-1.0,-0.03595890410958904,True
LT,2019-07-25,2019-08-29,1372.4,1342.45,1300.0,1280.0,11.0,7.0,4.0,20.0,16.0,0.012307692307692308,4.0,0.25,0.003076923076923077,False
LT,2019-08-22,2019-09-26,1294.25,1489.85,1220.0,1180.0,16.0,9.8,6.199999999999999,40.0,33.8,0.027704918032786883,6.199999999999999,0.1834319526627219,0.005081967213114754,False
LT,2019-09-26,2019-10-31,1489.85,1473.05,1400.0,1340.0,14.15,6.4,7.75,60.0,52.25,0.037321428571428575,7.75,0.14832535885167464,0.005535714285714285,False
LT,2019-11-21,2019-12-26,1392.7,1279.3,1320.0,1260.0,18.0,8.95,9.05,60.0,50.95,0.03859848484848485,-31.650000000000045,-0.621197252208048,-0.02397727272727276,True
LT,2019-12-26,2020-01-30,1279.3,1370.2,1200.0,1180.0,6.25,5.5,0.75,20.0,19.25,0.016041666666666666,0.75,0.03896103896103896,0.000625,False
LT,2020-01-23,2020-02-27,1332.3,1210.35,1260.0,1220.0,12.05,7.0,5.050000000000001,40.0,34.95,0.02773809523809524,-34.95,-1.0,-0.02773809523809524,True
LT,2020-03-26,2020-04-30,838.0,897.55,780.0,740.0,62.6,48.15,14.450000000000003,40.0,25.549999999999997,0.032756410256410254,14.450000000000003,0.5655577299412917,0.01852564102564103,False
LT,2020-04-23,2020-05-28,840.6,905.5,780.0,700.0,26.1,8.5,17.6,80.0,62.4,0.08,17.6,0.2820512820512821,0.022564102564102566,False
LT,2020-05-21,2020-06-25,820.5,943.1,760.0,740.0,19.15,14.55,4.599999999999998,20.0,15.400000000000002,0.020263157894736844,4.599999999999998,0.2987012987012985,0.006052631578947366,False
LT,2020-06-25,2020-07-30,943.1,908.25,890.0,850.0,25.2,15.25,9.95,40.0,30.05,0.03376404494382022,9.95,0.33111480865224624,0.011179775280898875,False
LT,2020-07-23,2020-08-27,916.55,975.6,860.0,850.0,22.0,18.55,3.4499999999999993,10.0,6.550000000000001,0.007616279069767443,3.4499999999999993,0.5267175572519083,0.004011627906976743,False
LT,2020-08-20,2020-09-24,995.75,850.7,940.0,900.0,17.0,8.8,8.2,40.0,31.8,0.033829787234042556,-31.799999999999997,-0.9999999999999999,-0.03382978723404255,True
LT,2020-09-24,2020-10-29,850.7,934.5,800.0,780.0,14.8,10.35,4.450000000000001,20.0,15.549999999999999,0.0194375,4.450000000000001,0.28617363344051455,0.0055625000000000015,False
LT,2020-10-22,2020-11-26,936.3,1118.85,880.0,840.0,13.55,6.5,7.050000000000001,40.0,32.95,0.03744318181818182,7.050000000000001,0.21396054628224584,0.008011363636363638,False
LT,2020-11-26,2020-12-31,1118.85,1287.6,1060.0,1020.0,18.6,10.65,7.950000000000001,40.0,32.05,0.030235849056603772,7.950000000000001,0.24804992199687992,0.007500000000000001,False
LT,2020-12-24,2021-01-28,1262.2,1345.35,1180.0,1120.0,21.4,8.15,13.249999999999998,60.0,46.75,0.03961864406779661,13.249999999999998,0.2834224598930481,0.011228813559322032,False
