Date,Ticker,EventDate,Source,Purpose,Company,SourceUrl,FetchedAtIST
2025-02-15,ADFFOODS,2025-02-15,NSE corporates-financial-results quarterly,Third Quarter,ADF Foods Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-14,ADL,2025-02-14,NSE corporates-financial-results quarterly,Third Quarter,Archidply Decor Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-01-24,ADOR,2025-01-24,NSE corporates-financial-results quarterly,Third Quarter,Ador Welding Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-01-22,ADROITINFO,2025-01-22,NSE corporates-financial-results quarterly,Third Quarter,Adroit Infotech Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-01,ADSL,2025-02-01,NSE corporates-financial-results quarterly,Third Quarter,Allied Digital Services Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-07,ADVANIHOTR,2025-02-07,NSE corporates-financial-results quarterly,Third Quarter,Advani Hotels & Resorts (India) Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-08,ADVENZYMES,2025-02-08,NSE corporates-financial-results quarterly,Third Quarter,Advanced Enzyme Technologies Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-12,AEGISLOG,2025-02-12,NSE corporates-financial-results quarterly,Third Quarter,Aegis Logistics Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-01-31,AEROENTER,2025-01-31,NSE corporates-financial-results quarterly,Third Quarter,Aeroflex Enterprises Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-01-15,AEROFLEX,2025-01-15,NSE corporates-financial-results quarterly,Third Quarter,Aeroflex Industries Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-01-29,AERONEU,2025-01-29,NSE corporates-financial-results quarterly,Third Quarter,Aeroflex Neu Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-01-17,AETHER,2025-01-17,NSE corporates-financial-results quarterly,Third Quarter,Aether Industries Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-14,AFCONS,2025-02-14,NSE corporates-financial-results quarterly,Third Quarter,Afcons Infrastructure Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-08,AFFLE,2025-02-08,NSE corporates-financial-results quarterly,Third Quarter,Affle 3i Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-11,AFFORDABLE,2025-02-11,NSE corporates-financial-results quarterly,Third Quarter,Affordable Robotic & Automation Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-08,AFIL,2025-02-08,NSE corporates-financial-results quarterly,Third Quarter,Akme Fintrade (India) Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
